rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
2.0,DON'T WASTE YOUR MONEY LIKE I DID,"THIS PRODUCT DOESN'T WORK AS ADVERTISED!! I FOLLOW DIRECTIONS AND THE SPRAY NAIL POLISH DOESN'T STICK TO THE ADHESION AS EXPECTED!! SOME OF THE POLISH STILL COMES OFF THE NAIL, AS IT IS RINSED FROM THE SKIN!! DON'T WASTE YOUR MONEY LIKE I DID!",[],B0002SGSNI,B0002SGSNI,AF4WLY2ZN4JZG3SUG56425CEDQNQ,1469633337000,0,True
1.0,Disappointed,The tube was dry there was nothing int to use.,[],B07QZML9BZ,B07QZML9BZ,AHOHSG6EEXPD4YPIIBZRFQRXZGMA,1576273793256,0,True
1.0,Terrible,I applied it exactly like instructions said. It did not peel off in one piece as shown. It peeled off and little tiny pieces. What a mess,[],B01GBCXHUU,B01GBCXHUU,AHOHSG6EEXPD4YPIIBZRFQRXZGMA,1484626755000,0,True
1.0,One Star,This broke within 1 week of use. The metal part for the eyebrow brush simply snapped off.,[],B00K5RZIKA,B00K5RZIKA,AEZWVXAE6PVYVNIL6LPFOSORRIWQ,1421965511000,0,False
2.0,not so good,"i have very thick hair as do the people i tend to work on, these just don't hold and they are flimsy.",[],B000X1YING,B000X1YING,AHSW7IWI4632URT2AF6ZJF554MIQ,1483135792000,0,True
5.0,They work,The ONLY headbands that actually stay on my head!,[],B071H2XBYK,B071H2XBYK,AHR3JE7Y6Z3AAX2N4PQIBFXRAFYA,1533295285693,21,True
5.0,Five Stars,"beautiful design & sticks well, great product",[],B01N47XMWS,B01N47XMWS,AHR3JE7Y6Z3AAX2N4PQIBFXRAFYA,1511877375162,0,True
5.0,Cute,Ordered to use as a fashionable medication bag. Was a little smaller than expected so I gave to my sister who loves it,[],B085KTY4Y3,B085KTY4Y3,AEZIQK4QMM7R7L2OM4FDI5XO323Q,1611178600064,0,True
5.0,Five Stars,Great for removing nail polish,[],B00G99SNKU,B00G99SNKU,AEZIQK4QMM7R7L2OM4FDI5XO323Q,1410479138000,0,True
4.0,I like it but?,"I love it!! the shampoo and the conditioner; nevertheless, for me to have a few drops of each of the product, I must take the pomp out in order to get the product and use it. It is too thick. In other words, it is too difficult and annoying to depend on the pomp of both bottles, the conditioner & the shampoo. The texture of the product is too thick and is too difficult to manage it, too hard to get it from the bottle. A jar will be easier for the customer. I'm very happy with the product results. Please Share this tomment with the manufacturers. Thanks ND",[],B07TDB2M5R,B07TDB2M5R,AHGZCPKPWUMX5I5DIZ2U5Q57JSNQ,1579228929525,0,True
1.0,I don't recommend it.,"I didn't get Plexaderm trough Amazon; nevertheless, I said the results don't last long. On the contrary, even though I have no wrinkles; only tired eyes and poufiness appearance, I noticed that after the product gets dry, the skin gets with some crepe vertical line on that area. I don't recommend it.<br />5/26/18",[],B078T47Y6R,B078T47Y6R,AHGZCPKPWUMX5I5DIZ2U5Q57JSNQ,1527365620192,10,False
5.0,Great I love them!,Good strong quality. I even gave my grown daughter 2 of them. Will order again. Winner Winner Chicken Dinner,[],B096RNRCNH,B096RNRCNH,AHLUEMNA3UA557AZBJ6P4DW3KZGQ,1636932493935,0,True
3.0,"A good shave, but the price isn't quite right.","I have had a cool skin razor for several years and always liked it. I finally got around to replacing the heads, and the difference in shave quality was dramatic (my old blades were at least 5 years old).  However, I only give this product three stars because the blade kit is expensive to replace yearly as recommended and only includes new blades, not an entire new blade assembly. I didn't expect this, but for $30 it would have been nice, especially since, as other reviewers have pointed out, the blades and assembly have a tendency to accumulate residue, particularly if you don't use the special Nivea shave cartridges. (I want to be able to use a big cheap can of Barbasol dam***!) Manufacturers are entitled to charge what they wish for their products, but I don't have to like it.",[],B0001HYLR0,B0001HYLR0,AE55T56CJG34KOX5UW7ORYMEHHEA,1261517018000,3,True
5.0,Cute stuff,Adorable,[],B06X9FYDLG,B06X9FYDLG,AFTZY2L7M5KXPIC2VWIFSSPSVRTQ,1549730166873,0,True
3.0,These are adorable and stay in my girl's hair really well,"These are adorable and stay in my girl's hair really well, but the ears have fallen off of the barrette clasp several times now. I don't mind hotglueing them back since my girl's are obsessed with being kittens, but I'd rather them have stayed put together.",[],B01M36J0KE,B01M36J0KE,AH5LZPXGX3JRDMHQCYUIXHJOJQPA,1487615246000,1,False
5.0,Love this comb,"Love this comb! Detangles my husband's beard easily. Made of natural material, which is a plus. Very high quality.",[],B00JO306CQ,B00JO306CQ,AH5LZPXGX3JRDMHQCYUIXHJOJQPA,1452439765000,0,True
